state,times
0000000000,0.6574249593371763
0000000001,1.894023010914628e-05
0000000010,0.0010505004272994964
0000000011,7.67218322739801e-06
0000000100,0.00021456651256347055
0000000101,6.1816015104849e-09
0000000110,0.0005296978710253547
0000000111,3.868574458476196e-06
0000001000,0.000234000803425304
0000001001,6.741498021414933e-09
0000001010,3.73910269902962e-07
0000001011,2.7308014606675695e-09
0000001100,0.00046407198788786714
0000001101,1.336978481417402e-08
0000001110,0.0011456491558252463
0000001111,8.36708868400987e-06
0000010000,0.0007600886229734873
0000010001,2.1897941685962856e-08
0000010010,1.2145468648226627e-06
0000010011,8.870273483977042e-09
0000010100,2.4807327856097955e-07
0000010101,7.14692211353285e-12
0000010110,6.124156371938988e-07
0000010111,4.472692116797912e-09
0000011000,0.00035143160830038915
0000011001,1.0124646827445664e-08
0000011010,5.615531467778755e-07
0000011011,4.1012250181346085e-09
0000011100,0.0006969615603164029
0000011101,2.007926857984116e-08
0000011110,0.0017205809530827954
0000011111,1.2566022808345642e-05
0000100000,0.0009615835922207571
0000100001,2.7702955671477417e-08
0000100010,1.5365160086567598e-06
0000100011,1.1221730181061663e-08
0000100100,3.1383602796139716e-07
0000100101,9.041528621186317e-12
0000100110,7.747633769879681e-07
0000100111,5.6583761716402145e-09
0000101000,3.4226162232584924e-07
0000101001,9.860462083637727e-12
0000101010,5.469004110583542e-10
0000101011,3.994210808238663e-12
0000101100,6.78775581645321e-07
0000101101,1.9555335595706216e-11
0000101110,1.6756854376107107e-06
0000101111,1.2238134678232466e-08
0000110000,0.0006402706183102257
0000110001,1.8446018318421477e-08
0000110010,1.0230894774672577e-06
0000110011,7.471991181697882e-09
0000110100,2.0896777908491803e-07
0000110101,6.020303557163382e-12
0000110110,5.158763423599696e-07
0000110111,3.7676308532687556e-09
0000111000,0.0002960330234387626
0000111001,8.52862901568179e-09
0000111010,4.730316566178422e-07
0000111011,3.4547206718051436e-09
0000111100,0.0005870947093202427
0000111101,1.6914035179921937e-08
0000111110,0.0014493539271427114
0000111111,1.0585154086013081e-05
0001000000,0.00038770031293255204
0001000001,1.11695381138769e-08
0001000010,6.195069697542642e-07
0001000011,4.52448267424623e-09
0001000100,1.2653536024792035e-07
0001000101,3.645448512413679e-12
0001000110,3.1237638218556083e-07
0001000111,2.2813973014749296e-09
0001001000,1.3799625862383786e-07
0001001001,3.975633804916529e-12
0001001010,2.2050444935377715e-10
0001001011,1.6104234647934785e-12
0001001100,2.73675120440751e-07
0001001101,7.884504052785261e-12
0001001110,6.756186085057958e-07
0001001111,4.934286195029171e-09
0001010000,4.482437011220263e-07
0001010001,1.2913776277654764e-11
0001010010,7.162493496409746e-10
0001010011,5.231027141108954e-12
0001010100,1.4629515713133836e-10
0001010101,4.214722761233282e-15
0001010110,3.611571644986622e-10
0001010111,2.637660935602163e-12
0001011000,2.0724820768870726e-07
0001011001,5.97076318381617e-12
0001011010,3.3116225303271696e-10
0001011011,2.4185972868153694e-12
0001011100,4.110160577247635e-07
0001011101,1.1841258232285312e-11
0001011110,1.014670593900992e-06
0001011111,7.410505040795909e-09
0001100000,0.00046025319381516784
0001100001,1.3259766419756356e-08
0001100010,7.35439337831436e-07
0001100011,5.371178541053935e-09
0001100100,1.5021474510594426e-07
0001100101,4.3276449999127005e-12
0001100110,3.708334060549077e-07
0001100111,2.708330015064531e-09
0001101000,1.6382039592837418e-07
0001101001,4.719620013488892e-12
0001101010,2.617688809634432e-10
0001101011,1.9117924807943942e-12
0001101100,3.248897255146647e-07
0001101101,9.35998257131756e-12
0001101110,8.020515124522192e-07
0001101111,5.85767125974788e-09
0001110000,0.0003064596768989381
0001110001,8.829018000005042e-09
0001110010,4.896924233862068e-07
0001110011,3.576400256157558e-09
0001110100,1.000205166834998e-07
0001110101,2.881563248725999e-12
0001110110,2.4691949416120414e-07
0001110111,1.8033420571671006e-09
0001111000,0.00014169349977965419
0001111001,4.08215029362844e-09
0001111010,2.2641227709723608e-07
0001111011,1.6535704600214948e-09
0001111100,0.00028100751429481
0001111101,8.095748279026355e-09
0001111110,0.000693720004514017
0001111111,5.06648721393192e-06
0010000000,0.00010494703737661986
0010000001,3.0234949387841913e-09
0010000010,1.6769504419045421e-07
0010000011,1.2247373460505673e-09
0010000100,3.4252000162075646e-08
0010000101,9.867905919213913e-13
0010000110,8.45575171421246e-08
0010000111,6.175540227393675e-10
0010001000,3.735436374060674e-08
0010001001,1.0761688231933755e-12
0010001010,5.968859945714748e-11
0010001011,4.3592735397474176e-13
0010001100,7.408142871151893e-08
0010001101,2.134265343416726e-12
0010001110,1.8288396731712927e-07
0010001111,1.3356675258262015e-09
0010010000,1.2133559578444694e-07
0010010001,3.495644745378668e-12
0010010010,1.9388234871202678e-10
0010010011,1.415992669037592e-12
0010010100,3.9600801988911536e-11
0010010101,1.1408880839159655e-15
0010010110,9.776204242597295e-11
0010010111,7.139914298796231e-13
0010011000,5.6100252367678765e-08
0010011001,1.6162326573306436e-12
0010011010,8.964268582573054e-11
0010011011,6.546928423618823e-13
0010011100,1.1125840277548565e-07
0010011101,3.2053236193958065e-12
0010011110,2.7466233374335685e-07
0010011111,2.005958013325968e-09
0010100000,1.535009399327951e-07
0010100001,4.422319358286307e-12
0010100010,2.4527940520063704e-10
0010100011,1.7913638963899071e-12
0010100100,5.0098738858045916e-11
0010100101,1.4433307234122845e-15
0010100110,1.2367817790910955e-10
0010100111,9.032663076479574e-13
0010101000,5.4636415549278406e-11
0010101001,1.5740599259961096e-15
0010101010,8.730361855822555e-14
0010101011,6.376097910930316e-16
0010101100,1.083553116223163e-10
0010101101,3.1216863712385533e-15
0010101110,2.674955061482471e-10
0010101111,1.9536160884300366e-12
0010110000,1.0220863013582725e-07
0010110001,2.9446021883089833e-12
0010110010,1.6331933874192223e-10
0010110011,1.192779992128721e-12
0010110100,3.3358254825379235e-11
0010110101,9.6104203751136e-16
0010110110,8.235113835341739e-11
0010110111,6.014400432529222e-13
0010111000,4.725678320285333e-08
0010111001,1.361454771936992e-12
0010111010,7.551169185521655e-11
0010111011,5.514891004978811e-13
0010111100,9.371997446638938e-08
0010111101,2.700046380968536e-12
0010111110,2.3136541836980354e-07
0010111111,1.6897450358777036e-09
0011000000,0.00021926050823682625
0011000001,6.316834219438217e-09
0011000010,3.5035672789928086e-07
0011000011,2.5587814545729495e-09
0011000100,7.156096209474959e-08
0011000101,2.061651401664099e-12
0011000110,1.7666172049518744e-07
0011000111,1.2902242147494484e-09
0011001000,7.80425725524421e-08
0011001001,2.2483847950392392e-12
0011001010,1.247043554545744e-10
0011001011,9.10760852103201e-13
0011001100,1.5477456168587869e-07
0011001101,4.459012046528228e-12
0011001110,3.8209017257360186e-07
0011001111,2.790542237958597e-09
0011010000,2.5350028989806274e-07
0011010001,7.30327279975099e-12
0011010010,4.0506853151263096e-10
0011010011,2.95836147483254e-12
0011010100,8.273594174473617e-11
0011010101,2.383599455247534e-15
0011010110,2.0424926367063305e-10
0011010111,1.4917059852803517e-12
0011011000,1.1720740436158135e-07
0011011001,3.3767126994117667e-12
0011011010,1.872859048257669e-10
0011011011,1.3678164619371958e-12
0011011100,2.3244652300785338e-07
0011011101,6.696719635163313e-12
